Name,Season,Team, Price 
AD Mascarenhas,2013,Kings XI Punjab," $100,000.00 "
Azhar Mahmood,2013,Kings XI Punjab," $200,000.00 "
DA Miller,2013,Kings XI Punjab," $100,000.00 "
DJ Hussey,2013,Kings XI Punjab," $1,400,000.00 "
LA Pomersbach,2013,Kings XI Punjab," $300,000.00 "
MS Gony,2013,Kings XI Punjab," $500,000.00 "
P Awana,2013,Kings XI Punjab," $60,000.00 "
P Kumar,2013,Kings XI Punjab," $800,000.00 "
PP Chawla,2013,Kings XI Punjab," $900,000.00 "
RJ Harris,2013,Kings XI Punjab," $325,000.00 "
SE Marsh,2013,Kings XI Punjab," $400,000.00 "
B Lee,2013,Kolkata Knight Riders," $400,000.00 "
BB McCullum,2013,Kolkata Knight Riders," $900,000.00 "
EJG Morgan,2013,Kolkata Knight Riders," $350,000.00 "
G Gambhir,2013,Kolkata Knight Riders," $2,400,000.00 "
JH Kallis,2013,Kolkata Knight Riders," $1,100,000.00 "
L Balaji,2013,Kolkata Knight Riders," $500,000.00 "
MK Tiwary,2013,Kolkata Knight Riders," $475,000.00 "
R McLaren,2013,Kolkata Knight Riders," $50,000.00 "
RN ten Doeschate,2013,Kolkata Knight Riders," $150,000.00 "
SMSM Senanayake,2013,Kolkata Knight Riders," $625,000.00 "
SP Narine,2013,Kolkata Knight Riders," $700,000.00 "
YK Pathan,2013,Kolkata Knight Riders," $2,100,000.00 "
DR Smith,2013,Mumbai Indians," $100,000.00 "
GJ Maxwell,2013,Mumbai Indians," $1,000,000.00 "
Harbhajan Singh,2013,Mumbai Indians," $1,300,000.00 "
JDP Oram,2013,Mumbai Indians," $50,000.00 "
KA Pollard,2013,Mumbai Indians," $900,000.00 "
KD Karthik,2013,Mumbai Indians," $1,200,000.00 "
MG Johnson,2013,Mumbai Indians," $300,000.00 "
MM Patel,2013,Mumbai Indians," $700,000.00 "
NM Coulter-Nile,2013,Mumbai Indians," $450,000.00 "
PP Ojha,2013,Mumbai Indians," $800,000.00 "
RG Sharma,2013,Mumbai Indians," $2,000,000.00 "
RT Ponting,2013,Mumbai Indians," $400,000.00 "
SL Malinga,2013,Mumbai Indians," $1,100,000.00 "
SR Tendulkar,2013,Mumbai Indians," $1,800,000.00 "
AB Dinda,2013,Pune Warriors," $375,000.00 "
AD Mathews,2013,Pune Warriors," $950,000.00 "
AJ Finch,2013,Pune Warriors," $300,000.00 "
AM Nayar,2013,Pune Warriors," $675,000.00 "
B Kumar,2013,Pune Warriors," $60,000.00 "
BAW Mendis,2013,Pune Warriors," $725,000.00 "
KW Richardson,2013,Pune Warriors," $700,000.00 "
LJ Wright,2013,Pune Warriors," $200,000.00 "
LRPL Taylor,2013,Pune Warriors," $1,000,000.00 "
MN Samuels,2013,Pune Warriors," $400,000.00 "
MR Marsh,2013,Pune Warriors," $290,000.00 "
R Sharma,2013,Pune Warriors," $60,000.00 "
RV Uthappa,2013,Pune Warriors," $2,100,000.00 "
WD Parnell,2013,Pune Warriors," $160,000.00 "
Yuvraj Singh,2013,Pune Warriors," $1,800,000.00 "
AM Rahane,2013,Rajasthan Royals," $60,000.00 "
BJ Hodge,2013,Rajasthan Royals," $475,000.00 "
GB Hogg,2013,Rajasthan Royals," $180,000.00 "
JP Faulkner,2013,Rajasthan Royals," $400,000.00 "
K Cooper,2013,Rajasthan Royals," $50,000.00 "
OA Shah,2013,Rajasthan Royals," $200,000.00 "
R Dravid,2013,Rajasthan Royals," $500,000.00 "
S Sreesanth,2013,Rajasthan Royals," $900,000.00 "
SR Watson,2013,Rajasthan Royals," $1,300,000.00 "
SW Tait,2013,Rajasthan Royals," $300,000.00 "
A Mithun,2013,Royal Challengers Bangalore," $260,000.00 "
AB de Villiers,2013,Royal Challengers Bangalore," $1,100,000.00 "
AB McDonald,2013,Royal Challengers Bangalore," $100,000.00 "
CA Pujara,2013,Royal Challengers Bangalore," $700,000.00 "
CH Gayle,2013,Royal Challengers Bangalore," $2,000,000.00 "
DT Christian,2013,Royal Challengers Bangalore," $900,000.00 "
JD Unadkat,2013,Royal Challengers Bangalore," $525,000.00 "
M Kartik,2013,Royal Challengers Bangalore," $400,000.00 "
M Muralitharan,2013,Royal Challengers Bangalore," $220,000.00 "
MC Henriques,2013,Royal Challengers Bangalore," $300,000.00 "
R Rampaul,2013,Royal Challengers Bangalore," $290,000.00 "
R Vinay Kumar,2013,Royal Challengers Bangalore," $1,000,000.00 "
RP Singh,2013,Royal Challengers Bangalore," $600,000.00 "
SS Tiwary,2013,Royal Challengers Bangalore," $1,600,000.00 "
TM Dilshan,2013,Royal Challengers Bangalore," $650,000.00 "
V Kohli,2013,Royal Challengers Bangalore," $1,800,000.00 "
Z Khan,2013,Royal Challengers Bangalore," $900,000.00 "
A Mishra,2013,Sunrisers Hyderabad," $300,000.00 "
CL White,2013,Sunrisers Hyderabad," $1,100,000.00 "
DJG Sammy,2013,Sunrisers Hyderabad," $425,000.00 "
DW Steyn,2013,Sunrisers Hyderabad," $1,200,000.00 "
I Sharma,2013,Sunrisers Hyderabad," $450,000.00 "
KC Sangakkara,2013,Sunrisers Hyderabad," $700,000.00 "
NLTC Perera,2013,Sunrisers Hyderabad," $650,000.00 "
PA Patel,2013,Sunrisers Hyderabad," $650,000.00 "
S Dhawan,2013,Sunrisers Hyderabad," $300,000.00 "
A Nehra,2014,Chennai Super Kings," $333,000.00 "
BB McCullum,2014,Chennai Super Kings," $541,000.00 "
BW Hilfenhaus,2014,Chennai Super Kings," $166,000.00 "
DJ Bravo,2014,Chennai Super Kings," $666,667.00 "
DJ Hussey,2014,Chennai Super Kings," $1,400,000.00 "
DR Smith,2014,Chennai Super Kings," $750,000.00 "
F du Plessis,2014,Chennai Super Kings," $791,000.00 "
IC Pandey,2014,Chennai Super Kings," $250,000.00 "
JW Hastings,2014,Chennai Super Kings," $83,000.00 "
M Manhas,2014,Chennai Super Kings," $50,000.00 "
MM Sharma,2014,Chennai Super Kings," $333,000.00 "
MS Dhoni,2014,Chennai Super Kings," $2,083,333.00 "
P Negi,2014,Chennai Super Kings," $16,000.00 "
R Ashwin,2014,Chennai Super Kings," $1,250,000.00 "
RA Jadeja,2014,Chennai Super Kings," $916,667.00 "
S Badree,2014,Chennai Super Kings," $50,000.00 "
SK Raina,2014,Chennai Super Kings," $1,583,333.00 "
V Shankar,2014,Chennai Super Kings," $16,000.00 "
JD Unadkat,2014,Delhi Daredevils," $466,000.00 "
JDS Neesham,2014,Delhi Daredevils," $166,000.00 "
JP Duminy,2014,Delhi Daredevils," $366,000.00 "
KD Karthik,2014,Delhi Daredevils," $2,083,000.00 "
KM Jadhav,2014,Delhi Daredevils," $333,000.00 "
KP Pietersen,2014,Delhi Daredevils," $1,500,000.00 "
