Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season
PP Shaw,Delhi Capitals,-1.16,0,-1.16,-1.16,2019,2019,PP Shaw|Delhi Capitals,PP Shaw|Delhi Capitals|2019
Q de Kock,Mumbai Indians,-0.92,0,-0.92,-0.92,2019,2019,Q de Kock|Mumbai Indians,Q de Kock|Mumbai Indians|2019
R Ashwin,Kings XI Punjab,2.96,126.97,129.93,129.93,2019,2019,R Ashwin|Kings XI Punjab,R Ashwin|Kings XI Punjab|2019
RA Jadeja,Chennai Super Kings,-25.06,245.75,220.69,220.69,2019,2019,RA Jadeja|Chennai Super Kings,RA Jadeja|Chennai Super Kings|2019
RD Chahar,Mumbai Indians,0.2,195.91,196.11,196.11,2019,2019,RD Chahar|Mumbai Indians,RD Chahar|Mumbai Indians|2019
RG Sharma,Mumbai Indians,-34.55,0,-34.55,-34.55,2019,2019,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2019
RR Pant,Delhi Capitals,59.72,0,59.72,59.72,2019,2019,RR Pant|Delhi Capitals,RR Pant|Delhi Capitals|2019
RV Uthappa,Kolkata Knight Riders,-50.94,0,-50.94,-50.94,2019,2019,RV Uthappa|Kolkata Knight Riders,RV Uthappa|Kolkata Knight Riders|2019
Rashid Khan,Sunrisers Hyderabad,6.12,247.54,253.66,253.66,2019,2019,Rashid Khan|Sunrisers Hyderabad,Rashid Khan|Sunrisers Hyderabad|2019
S Dhawan,Delhi Capitals,-17.76,0,-17.76,-17.76,2019,2019,S Dhawan|Delhi Capitals,S Dhawan|Delhi Capitals|2019
S Gopal,Rajasthan Royals,-1.23,96.02,94.79,94.78,2019,2019,S Gopal|Rajasthan Royals,S Gopal|Rajasthan Royals|2019
SA Yadav,Mumbai Indians,-3.84,0,-3.84,-3.84,2019,2019,SA Yadav|Mumbai Indians,SA Yadav|Mumbai Indians|2019
SK Raina,Chennai Super Kings,-36.98,2.03,-34.95,-34.96,2019,2019,SK Raina|Chennai Super Kings,SK Raina|Chennai Super Kings|2019
SL Malinga,Mumbai Indians,0,-302.47,-302.47,-302.47,2019,2019,SL Malinga|Mumbai Indians,SL Malinga|Mumbai Indians|2019
SM Curran,Kings XI Punjab,25.55,-186.86,-161.31,-161.31,2019,2019,SM Curran|Kings XI Punjab,SM Curran|Kings XI Punjab|2019
SP Narine,Kolkata Knight Riders,17.32,-13.51,3.81,3.81,2019,2019,SP Narine|Kolkata Knight Riders,SP Narine|Kolkata Knight Riders|2019
SPD Smith,Rajasthan Royals,-14.86,0,-14.86,-14.86,2019,2019,SPD Smith|Rajasthan Royals,SPD Smith|Rajasthan Royals|2019
SR Watson,Chennai Super Kings,-44.31,0,-44.31,-44.31,2019,2019,SR Watson|Chennai Super Kings,SR Watson|Chennai Super Kings|2019
SS Iyer,Delhi Capitals,-3.7,0,-3.7,-3.7,2019,2019,SS Iyer|Delhi Capitals,SS Iyer|Delhi Capitals|2019
SV Samson,Rajasthan Royals,30.61,0,30.61,30.61,2019,2019,SV Samson|Rajasthan Royals,SV Samson|Rajasthan Royals|2019
Sandeep Sharma,Sunrisers Hyderabad,2.86,-47.66,-44.8,-44.8,2019,2019,Sandeep Sharma|Sunrisers Hyderabad,Sandeep Sharma|Sunrisers Hyderabad|2019
Shubman Gill,Kolkata Knight Riders,-21.43,0,-21.43,-21.43,2019,2019,Shubman Gill|Kolkata Knight Riders,Shubman Gill|Kolkata Knight Riders|2019
V Kohli,Royal Challengers Bangalore,6.53,0,6.53,6.53,2019,2019,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2019
V Shankar,Sunrisers Hyderabad,-29.69,-11.33,-41.02,-41.02,2019,2019,V Shankar|Sunrisers Hyderabad,V Shankar|Sunrisers Hyderabad|2019
YS Chahal,Royal Challengers Bangalore,-6.55,-7.84,-14.39,-14.39,2019,2019,YS Chahal|Royal Challengers Bangalore,YS Chahal|Royal Challengers Bangalore|2019
A Nortje,Delhi Capitals,0.76,-162.93,-162.17,-162.17,2020_21,2020,A Nortje|Delhi Capitals,A Nortje|Delhi Capitals|2020
AB de Villiers,Royal Challengers Bangalore,33.03,0,33.03,33.03,2020_21,2020,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2020
AJ Finch,Royal Challengers Bangalore,-58.3,0,-58.3,-58.3,2020_21,2020,AJ Finch|Royal Challengers Bangalore,AJ Finch|Royal Challengers Bangalore|2020
AT Rayudu,Chennai Super Kings,-13.95,0,-13.95,-13.95,2020_21,2020,AT Rayudu|Chennai Super Kings,AT Rayudu|Chennai Super Kings|2020
BA Stokes,Rajasthan Royals,40.86,-136.03,-95.17,-95.17,2020_21,2020,BA Stokes|Rajasthan Royals,BA Stokes|Rajasthan Royals|2020
CH Gayle,Kings XI Punjab,4.64,1.7,6.34,6.34,2020_21,2020,CH Gayle|Kings XI Punjab,CH Gayle|Kings XI Punjab|2020
CV Varun,Kolkata Knight Riders,-1.29,176.57,175.28,175.27,2020_21,2020,CV Varun|Kolkata Knight Riders,CV Varun|Kolkata Knight Riders|2020
D Padikkal,Royal Challengers Bangalore,-29,0,-29,-29,2020_21,2020,D Padikkal|Royal Challengers Bangalore,D Padikkal|Royal Challengers Bangalore|2020
DA Warner,Sunrisers Hyderabad,-6.89,-0.66,-7.55,-7.56,2020_21,2020,DA Warner|Sunrisers Hyderabad,DA Warner|Sunrisers Hyderabad|2020
DL Chahar,Chennai Super Kings,-8.23,25.52,17.29,17.29,2020_21,2020,DL Chahar|Chennai Super Kings,DL Chahar|Chennai Super Kings|2020
EJG Morgan,Kolkata Knight Riders,43.37,0,43.37,43.37,2020_21,2020,EJG Morgan|Kolkata Knight Riders,EJG Morgan|Kolkata Knight Riders|2020
F du Plessis,Chennai Super Kings,17.42,0,17.42,17.42,2020_21,2020,F du Plessis|Chennai Super Kings,F du Plessis|Chennai Super Kings|2020
HH Pandya,Mumbai Indians,57.68,0,57.68,57.68,2020_21,2020,HH Pandya|Mumbai Indians,HH Pandya|Mumbai Indians|2020
Ishan Kishan,Mumbai Indians,24.13,0,24.13,24.13,2020_21,2020,Ishan Kishan|Mumbai Indians,Ishan Kishan|Mumbai Indians|2020
JC Archer,Rajasthan Royals,32.33,230.53,262.86,262.87,2020_21,2020,JC Archer|Rajasthan Royals,JC Archer|Rajasthan Royals|2020
JC Buttler,Rajasthan Royals,33.77,0,33.77,33.77,2020_21,2020,JC Buttler|Rajasthan Royals,JC Buttler|Rajasthan Royals|2020
JJ Bumrah,Mumbai Indians,3.8,144.15,147.95,147.95,2020_21,2020,JJ Bumrah|Mumbai Indians,JJ Bumrah|Mumbai Indians|2020
JL Pattinson,Mumbai Indians,1.49,-112.57,-111.08,-111.08,2020_21,2020,JL Pattinson|Mumbai Indians,JL Pattinson|Mumbai Indians|2020
JM Bairstow,Sunrisers Hyderabad,-27.55,0,-27.55,-27.55,2020_21,2020,JM Bairstow|Sunrisers Hyderabad,JM Bairstow|Sunrisers Hyderabad|2020
JO Holder,Sunrisers Hyderabad,1.4,-55.11,-53.71,-53.71,2020_21,2020,JO Holder|Sunrisers Hyderabad,JO Holder|Sunrisers Hyderabad|2020
K Rabada,Delhi Capitals,1.95,-130.53,-128.58,-128.58,2020_21,2020,K Rabada|Delhi Capitals,K Rabada|Delhi Capitals|2020
KA Pollard,Mumbai Indians,93.19,-42.6,50.59,50.59,2020_21,2020,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2020
KL Rahul,Kings XI Punjab,21.84,0,21.84,21.84,2020_21,2020,KL Rahul|Kings XI Punjab,KL Rahul|Kings XI Punjab|2020
KS Williamson,Sunrisers Hyderabad,-11.37,-7.95,-19.32,-19.32,2020_21,2020,KS Williamson|Sunrisers Hyderabad,KS Williamson|Sunrisers Hyderabad|2020
M Ashwin,Kings XI Punjab,-1.08,30.14,29.06,29.07,2020_21,2020,M Ashwin|Kings XI Punjab,M Ashwin|Kings XI Punjab|2020
MA Agarwal,Kings XI Punjab,58.13,0,58.13,58.13,2020_21,2020,MA Agarwal|Kings XI Punjab,MA Agarwal|Kings XI Punjab|2020
MK Pandey,Sunrisers Hyderabad,-26.67,0,-26.67,-26.67,2020_21,2020,MK Pandey|Sunrisers Hyderabad,MK Pandey|Sunrisers Hyderabad|2020
MP Stoinis,Delhi Capitals,44.01,-163.01,-119,-118.99,2020_21,2020,MP Stoinis|Delhi Capitals,MP Stoinis|Delhi Capitals|2020
MS Dhoni,Chennai Super Kings,-38.44,0,-38.44,-38.44,2020_21,2020,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2020
Mohammed Shami,Kings XI Punjab,-1.12,-154.31,-155.43,-155.43,2020_21,2020,Mohammed Shami|Kings XI Punjab,Mohammed Shami|Kings XI Punjab|2020
Mohammed Siraj,Royal Challengers Bangalore,2.45,-98.19,-95.74,-95.74,2020_21,2020,Mohammed Siraj|Royal Challengers Bangalore,Mohammed Siraj|Royal Challengers Bangalore|2020
N Pooran,Kings XI Punjab,60.06,0,60.06,60.06,2020_21,2020,N Pooran|Kings XI Punjab,N Pooran|Kings XI Punjab|2020
N Rana,Kolkata Knight Riders,16.47,-6.95,9.52,9.52,2020_21,2020,N Rana|Kolkata Knight Riders,N Rana|Kolkata Knight Riders|2020
PJ Cummins,Kolkata Knight Riders,-6.26,-48.5,-54.76,-54.76,2020_21,2020,PJ Cummins|Kolkata Knight Riders,PJ Cummins|Kolkata Knight Riders|2020
PP Shaw,Delhi Capitals,18.57,0,18.57,18.57,2020_21,2020,PP Shaw|Delhi Capitals,PP Shaw|Delhi Capitals|2020
Q de Kock,Mumbai Indians,23.25,0,23.25,23.25,2020_21,2020,Q de Kock|Mumbai Indians,Q de Kock|Mumbai Indians|2020
R Ashwin,Delhi Capitals,-6.14,40.48,34.34,34.35,2020_21,2020,R Ashwin|Delhi Capitals,R Ashwin|Delhi Capitals|2020
R Tewatia,Rajasthan Royals,18.05,38.68,56.73,56.73,2020_21,2020,R Tewatia|Rajasthan Royals,R Tewatia|Rajasthan Royals|2020
RA Jadeja,Chennai Super Kings,56.16,-52.24,3.92,3.91,2020_21,2020,RA Jadeja|Chennai Super Kings,RA Jadeja|Chennai Super Kings|2020
RA Tripathi,Kolkata Knight Riders,-0.33,0,-0.33,-0.33,2020_21,2020,RA Tripathi|Kolkata Knight Riders,RA Tripathi|Kolkata Knight Riders|2020
RD Chahar,Mumbai Indians,-2.16,-57.4,-59.56,-59.56,2020_21,2020,RD Chahar|Mumbai Indians,RD Chahar|Mumbai Indians|2020
RD Gaikwad,Chennai Super Kings,-9.13,0,-9.13,-9.13,2020_21,2020,RD Gaikwad|Chennai Super Kings,RD Gaikwad|Chennai Super Kings|2020
RG Sharma,Mumbai Indians,-4.78,0,-4.78,-4.78,2020_21,2020,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2020
RR Pant,Delhi Capitals,-36.61,0,-36.61,-36.61,2020_21,2020,RR Pant|Delhi Capitals,RR Pant|Delhi Capitals|2020
Rashid Khan,Sunrisers Hyderabad,-4.63,463.37,458.74,458.74,2020_21,2020,Rashid Khan|Sunrisers Hyderabad,Rashid Khan|Sunrisers Hyderabad|2020
Ravi Bishnoi,Kings XI Punjab,-8.23,72.47,64.24,64.25,2020_21,2020,Ravi Bishnoi|Kings XI Punjab,Ravi Bishnoi|Kings XI Punjab|2020
S Dhawan,Delhi Capitals,59.22,0,59.22,59.22,2020_21,2020,S Dhawan|Delhi Capitals,S Dhawan|Delhi Capitals|2020
SA Yadav,Mumbai Indians,41.23,0,41.23,41.23,2020_21,2020,SA Yadav|Mumbai Indians,SA Yadav|Mumbai Indians|2020
SM Curran,Chennai Super Kings,2.02,-49.16,-47.14,-47.13,2020_21,2020,SM Curran|Chennai Super Kings,SM Curran|Chennai Super Kings|2020
SN Thakur,Chennai Super Kings,-2.82,-70.81,-73.63,-73.63,2020_21,2020,SN Thakur|Chennai Super Kings,SN Thakur|Chennai Super Kings|2020
SPD Smith,Rajasthan Royals,-18.29,0,-18.29,-18.29,2020_21,2020,SPD Smith|Rajasthan Royals,SPD Smith|Rajasthan Royals|2020
SR Watson,Chennai Super Kings,-34.2,0,-34.2,-34.2,2020_21,2020,SR Watson|Chennai Super Kings,SR Watson|Chennai Super Kings|2020
SS Iyer,Delhi Capitals,-70.97,0,-70.97,-70.97,2020_21,2020,SS Iyer|Delhi Capitals,SS Iyer|Delhi Capitals|2020
SV Samson,Rajasthan Royals,44.45,0,44.45,44.45,2020_21,2020,SV Samson|Rajasthan Royals,SV Samson|Rajasthan Royals|2020
Sandeep Sharma,Sunrisers Hyderabad,1.41,129.58,130.99,130.99,2020_21,2020,Sandeep Sharma|Sunrisers Hyderabad,Sandeep Sharma|Sunrisers Hyderabad|2020
Shubman Gill,Kolkata Knight Riders,-30.6,0,-30.6,-30.6,2020_21,2020,Shubman Gill|Kolkata Knight Riders,Shubman Gill|Kolkata Knight Riders|2020
T Natarajan,Sunrisers Hyderabad,1,-99.83,-98.83,-98.83,2020_21,2020,T Natarajan|Sunrisers Hyderabad,T Natarajan|Sunrisers Hyderabad|2020
TA Boult,Mumbai Indians,-0.71,-27.02,-27.73,-27.73,2020_21,2020,TA Boult|Mumbai Indians,TA Boult|Mumbai Indians|2020
V Kohli,Royal Challengers Bangalore,-25.35,0,-25.35,-25.35,2020_21,2020,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2020
WP Saha,Sunrisers Hyderabad,-2.64,0,-2.64,-2.64,2020_21,2020,WP Saha|Sunrisers Hyderabad,WP Saha|Sunrisers Hyderabad|2020
YS Chahal,Royal Challengers Bangalore,-1,122.6,121.6,121.6,2020_21,2020,YS Chahal|Royal Challengers Bangalore,YS Chahal|Royal Challengers Bangalore|2020
A Nortje,Delhi Capitals,0,106.57,106.57,106.57,2021,2021,A Nortje|Delhi Capitals,A Nortje|Delhi Capitals|2021
AB de Villiers,Royal Challengers Bangalore,43.56,0,43.56,43.56,2021,2021,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2021
AD Russell,Kolkata Knight Riders,30.56,-79.79,-49.23,-49.24,2021,2021,AD Russell|Kolkata Knight Riders,AD Russell|Kolkata Knight Riders|2021
AR Patel,Delhi Capitals,-17.4,159.28,141.88,141.88,2021,2021,AR Patel|Delhi Capitals,AR Patel|Delhi Capitals|2021
AT Rayudu,Chennai Super Kings,31.92,0,31.92,31.92,2021,2021,AT Rayudu|Chennai Super Kings,AT Rayudu|Chennai Super Kings|2021
Arshdeep Singh,Punjab Kings,0.29,-86.17,-85.88,-85.87,2021,2021,Arshdeep Singh|Punjab Kings,Arshdeep Singh|Punjab Kings|2021
Avesh Khan,Delhi Capitals,1.6,11.05,12.65,12.64,2021,2021,Avesh Khan|Delhi Capitals,Avesh Khan|Delhi Capitals|2021
C Sakariya,Rajasthan Royals,-12.34,-86.9,-99.24,-99.24,2021,2021,C Sakariya|Rajasthan Royals,C Sakariya|Rajasthan Royals|2021
CH Morris,Rajasthan Royals,-1.04,-246,-247.04,-247.04,2021,2021,CH Morris|Rajasthan Royals,CH Morris|Rajasthan Royals|2021
CV Varun,Kolkata Knight Riders,-1.37,219.16,217.79,217.79,2021,2021,CV Varun|Kolkata Knight Riders,CV Varun|Kolkata Knight Riders|2021
D Padikkal,Royal Challengers Bangalore,-34.69,0,-34.69,-34.69,2021,2021,D Padikkal|Royal Challengers Bangalore,D Padikkal|Royal Challengers Bangalore|2021
DJ Bravo,Chennai Super Kings,18.76,-12.9,5.86,5.86,2021,2021,DJ Bravo|Chennai Super Kings,DJ Bravo|Chennai Super Kings|2021
DL Chahar,Chennai Super Kings,0.16,-74.52,-74.36,-74.36,2021,2021,DL Chahar|Chennai Super Kings,DL Chahar|Chennai Super Kings|2021
F du Plessis,Chennai Super Kings,43.66,0,43.66,43.66,2021,2021,F du Plessis|Chennai Super Kings,F du Plessis|Chennai Super Kings|2021
GJ Maxwell,Royal Challengers Bangalore,66.59,-14.52,52.07,52.07,2021,2021,GJ Maxwell|Royal Challengers Bangalore,GJ Maxwell|Royal Challengers Bangalore|2021
HV Patel,Royal Challengers Bangalore,0.8,-53.32,-52.52,-52.52,2021,2021,HV Patel|Royal Challengers Bangalore,HV Patel|Royal Challengers Bangalore|2021
Ishan Kishan,Mumbai Indians,20.96,0,20.96,20.96,2021,2021,Ishan Kishan|Mumbai Indians,Ishan Kishan|Mumbai Indians|2021
JC Buttler,Rajasthan Royals,30.65,0,30.65,30.65,2021,2021,JC Buttler|Rajasthan Royals,JC Buttler|Rajasthan Royals|2021
JJ Bumrah,Mumbai Indians,1.69,8.47,10.16,10.17,2021,2021,JJ Bumrah|Mumbai Indians,JJ Bumrah|Mumbai Indians|2021
JM Bairstow,Sunrisers Hyderabad,23.41,0,23.41,23.41,2021,2021,JM Bairstow|Sunrisers Hyderabad,JM Bairstow|Sunrisers Hyderabad|2021
JO Holder,Sunrisers Hyderabad,4.42,8.02,12.44,12.44,2021,2021,JO Holder|Sunrisers Hyderabad,JO Holder|Sunrisers Hyderabad|2021
JR Hazlewood,Chennai Super Kings,0,-84.6,-84.6,-84.6,2021,2021,JR Hazlewood|Chennai Super Kings,JR Hazlewood|Chennai Super Kings|2021
K Rabada,Delhi Capitals,6.2,-81.9,-75.7,-75.71,2021,2021,K Rabada|Delhi Capitals,K Rabada|Delhi Capitals|2021
KA Pollard,Mumbai Indians,17.85,18.48,36.33,36.33,2021,2021,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2021
KD Karthik,Kolkata Knight Riders,16.54,0,16.54,16.54,2021,2021,KD Karthik|Kolkata Knight Riders,KD Karthik|Kolkata Knight Riders|2021
KL Rahul,Punjab Kings,25.67,0,25.67,25.67,2021,2021,KL Rahul|Punjab Kings,KL Rahul|Punjab Kings|2021
KS Williamson,Sunrisers Hyderabad,-32.25,0,-32.25,-32.25,2021,2021,KS Williamson|Sunrisers Hyderabad,KS Williamson|Sunrisers Hyderabad|2021
LH Ferguson,Kolkata Knight Riders,3.26,26.52,29.78,29.78,2021,2021,LH Ferguson|Kolkata Knight Riders,LH Ferguson|Kolkata Knight Riders|2021
M Prasidh Krishna,Kolkata Knight Riders,-0.57,-168.58,-169.15,-169.15,2021,2021,M Prasidh Krishna|Kolkata Knight Riders,M Prasidh Krishna|Kolkata Knight Riders|2021
MA Agarwal,Punjab Kings,34.48,0,34.48,34.48,2021,2021,MA Agarwal|Punjab Kings,MA Agarwal|Punjab Kings|2021
MK Pandey,Sunrisers Hyderabad,-2.26,0,-2.26,-2.26,2021,2021,MK Pandey|Sunrisers Hyderabad,MK Pandey|Sunrisers Hyderabad|2021
MM Ali,Chennai Super Kings,33.76,69.85,103.61,103.61,2021,2021,MM Ali|Chennai Super Kings,MM Ali|Chennai Super Kings|2021
Mohammed Shami,Punjab Kings,-1.31,34.89,33.58,33.59,2021,2021,Mohammed Shami|Punjab Kings,Mohammed Shami|Punjab Kings|2021
Mohammed Siraj,Royal Challengers Bangalore,-1.88,106.94,105.06,105.06,2021,2021,Mohammed Siraj|Royal Challengers Bangalore,Mohammed Siraj|Royal Challengers Bangalore|2021
Mustafizur Rahman,Rajasthan Royals,0.03,-140.77,-140.74,-140.74,2021,2021,Mustafizur Rahman|Rajasthan Royals,Mustafizur Rahman|Rajasthan Royals|2021
N Rana,Kolkata Knight Riders,-9.92,7.64,-2.28,-2.28,2021,2021,N Rana|Kolkata Knight Riders,N Rana|Kolkata Knight Riders|2021
PP Shaw,Delhi Capitals,81.36,0,81.36,81.36,2021,2021,PP Shaw|Delhi Capitals,PP Shaw|Delhi Capitals|2021
Q de Kock,Mumbai Indians,-30.48,0,-30.48,-30.48,2021,2021,Q de Kock|Mumbai Indians,Q de Kock|Mumbai Indians|2021
RA Jadeja,Chennai Super Kings,39.35,38.44,77.79,77.78,2021,2021,RA Jadeja|Chennai Super Kings,RA Jadeja|Chennai Super Kings|2021
RA Tripathi,Kolkata Knight Riders,31.13,0,31.13,31.13,2021,2021,RA Tripathi|Kolkata Knight Riders,RA Tripathi|Kolkata Knight Riders|2021
RD Chahar,Mumbai Indians,-5.26,24.34,19.08,19.08,2021,2021,RD Chahar|Mumbai Indians,RD Chahar|Mumbai Indians|2021
RD Gaikwad,Chennai Super Kings,18.62,0,18.62,18.62,2021,2021,RD Gaikwad|Chennai Super Kings,RD Gaikwad|Chennai Super Kings|2021
RG Sharma,Mumbai Indians,-15.35,-3.78,-19.13,-19.13,2021,2021,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2021
RR Pant,Delhi Capitals,-8.84,0,-8.84,-8.84,2021,2021,RR Pant|Delhi Capitals,RR Pant|Delhi Capitals|2021
Rashid Khan,Sunrisers Hyderabad,-8.15,112.14,103.99,103.99,2021,2021,Rashid Khan|Sunrisers Hyderabad,Rashid Khan|Sunrisers Hyderabad|2021
Ravi Bishnoi,Punjab Kings,-4.67,111.18,106.51,106.51,2021,2021,Ravi Bishnoi|Punjab Kings,Ravi Bishnoi|Punjab Kings|2021
S Dhawan,Delhi Capitals,-15.26,0,-15.26,-15.26,2021,2021,S Dhawan|Delhi Capitals,S Dhawan|Delhi Capitals|2021
S Dube,Rajasthan Royals,-17.84,-14.79,-32.63,-32.63,2021,2021,S Dube|Rajasthan Royals,S Dube|Rajasthan Royals|2021
SA Yadav,Mumbai Indians,43.77,0,43.77,43.77,2021,2021,SA Yadav|Mumbai Indians,SA Yadav|Mumbai Indians|2021
SN Thakur,Chennai Super Kings,-2.18,-178.03,-180.21,-180.21,2021,2021,SN Thakur|Chennai Super Kings,SN Thakur|Chennai Super Kings|2021
SO Hetmyer,Delhi Capitals,58.35,0,58.35,58.35,2021,2021,SO Hetmyer|Delhi Capitals,SO Hetmyer|Delhi Capitals|2021
SP Narine,Kolkata Knight Riders,0.99,199.14,200.13,200.13,2021,2021,SP Narine|Kolkata Knight Riders,SP Narine|Kolkata Knight Riders|2021
SV Samson,Rajasthan Royals,34.26,0,34.26,34.26,2021,2021,SV Samson|Rajasthan Royals,SV Samson|Rajasthan Royals|2021
Shivam Mavi,Kolkata Knight Riders,7.33,14.15,21.48,21.47,2021,2021,Shivam Mavi|Kolkata Knight Riders,Shivam Mavi|Kolkata Knight Riders|2021
Shubman Gill,Kolkata Knight Riders,-57.78,0,-57.78,-57.78,2021,2021,Shubman Gill|Kolkata Knight Riders,Shubman Gill|Kolkata Knight Riders|2021
TA Boult,Mumbai Indians,-2.37,-19.81,-22.18,-22.18,2021,2021,TA Boult|Mumbai Indians,TA Boult|Mumbai Indians|2021
V Kohli,Royal Challengers Bangalore,-30.69,0,-30.69,-30.69,2021,2021,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2021
VR Iyer,Kolkata Knight Riders,-5.16,-12.69,-17.85,-17.85,2021,2021,VR Iyer|Kolkata Knight Riders,VR Iyer|Kolkata Knight Riders|2021
YBK Jaiswal,Rajasthan Royals,38.21,0,38.21,38.21,2021,2021,YBK Jaiswal|Rajasthan Royals,YBK Jaiswal|Rajasthan Royals|2021
YS Chahal,Royal Challengers Bangalore,-5.37,82.82,77.45,77.45,2021,2021,YS Chahal|Royal Challengers Bangalore,YS Chahal|Royal Challengers Bangalore|2021
AD Russell,Kolkata Knight Riders,57.29,-92.51,-35.22,-35.22,2022,2022,AD Russell|Kolkata Knight Riders,AD Russell|Kolkata Knight Riders|2022
AK Markram,Sunrisers Hyderabad,31.78,-13.72,18.06,18.06,2022,2022,AK Markram|Sunrisers Hyderabad,AK Markram|Sunrisers Hyderabad|2022
AT Rayudu,Chennai Super Kings,-49.5,0,-49.5,-49.5,2022,2022,AT Rayudu|Chennai Super Kings,AT Rayudu|Chennai Super Kings|2022
Abhishek Sharma,Sunrisers Hyderabad,-1.74,-6.87,-8.61,-8.62,2022,2022,Abhishek Sharma|Sunrisers Hyderabad,Abhishek Sharma|Sunrisers Hyderabad|2022
Arshdeep Singh,Punjab Kings,4.71,0.91,5.62,5.62,2022,2022,Arshdeep Singh|Punjab Kings,Arshdeep Singh|Punjab Kings|2022
Avesh Khan,Lucknow Super Giants,5.46,-9.77,-4.31,-4.3,2022,2022,Avesh Khan|Lucknow Super Giants,Avesh Khan|Lucknow Super Giants|2022
B Kumar,Sunrisers Hyderabad,-6.01,86.22,80.21,80.21,2022,2022,B Kumar|Sunrisers Hyderabad,B Kumar|Sunrisers Hyderabad|2022
D Padikkal,Rajasthan Royals,-37.31,0,-37.31,-37.31,2022,2022,D Padikkal|Rajasthan Royals,D Padikkal|Rajasthan Royals|2022
DA Miller,Gujarat Titans,1.64,0,1.64,1.64,2022,2022,DA Miller|Gujarat Titans,DA Miller|Gujarat Titans|2022
DA Warner,Delhi Capitals,42.86,0,42.86,42.86,2022,2022,DA Warner|Delhi Capitals,DA Warner|Delhi Capitals|2022
DJ Bravo,Chennai Super Kings,-7.11,-63.52,-70.63,-70.63,2022,2022,DJ Bravo|Chennai Super Kings,DJ Bravo|Chennai Super Kings|2022
DP Conway,Chennai Super Kings,23.18,0,23.18,23.18,2022,2022,DP Conway|Chennai Super Kings,DP Conway|Chennai Super Kings|2022
DR Sams,Mumbai Indians,-6.52,-63.52,-70.04,-70.04,2022,2022,DR Sams|Mumbai Indians,DR Sams|Mumbai Indians|2022
F du Plessis,Royal Challengers Bangalore,-23.85,0,-23.85,-23.85,2022,2022,F du Plessis|Royal Challengers Bangalore,F du Plessis|Royal Challengers Bangalore|2022
GJ Maxwell,Royal Challengers Bangalore,72.63,100.53,173.16,173.17,2022,2022,GJ Maxwell|Royal Challengers Bangalore,GJ Maxwell|Royal Challengers Bangalore|2022
HH Pandya,Gujarat Titans,6.79,80.65,87.44,87.43,2022,2022,HH Pandya|Gujarat Titans,HH Pandya|Gujarat Titans|2022
HV Patel,Royal Challengers Bangalore,-6.73,-6.27,-13,-13,2022,2022,HV Patel|Royal Challengers Bangalore,HV Patel|Royal Challengers Bangalore|2022
Ishan Kishan,Mumbai Indians,-7,0,-7,-7,2022,2022,Ishan Kishan|Mumbai Indians,Ishan Kishan|Mumbai Indians|2022
JC Buttler,Rajasthan Royals,79.94,0,79.94,79.94,2022,2022,JC Buttler|Rajasthan Royals,JC Buttler|Rajasthan Royals|2022
JJ Bumrah,Mumbai Indians,-6.95,88.54,81.59,81.59,2022,2022,JJ Bumrah|Mumbai Indians,JJ Bumrah|Mumbai Indians|2022
JM Bairstow,Punjab Kings,33.24,0,33.24,33.24,2022,2022,JM Bairstow|Punjab Kings,JM Bairstow|Punjab Kings|2022
JM Sharma,Punjab Kings,49.89,0,49.89,49.89,2022,2022,JM Sharma|Punjab Kings,JM Sharma|Punjab Kings|2022
JR Hazlewood,Royal Challengers Bangalore,-2.75,50.94,48.19,48.2,2022,2022,JR Hazlewood|Royal Challengers Bangalore,JR Hazlewood|Royal Challengers Bangalore|2022
K Rabada,Punjab Kings,13.73,-43.94,-30.21,-30.22,2022,2022,K Rabada|Punjab Kings,K Rabada|Punjab Kings|2022
KD Karthik,Royal Challengers Bangalore,71.98,0,71.98,71.98,2022,2022,KD Karthik|Royal Challengers Bangalore,KD Karthik|Royal Challengers Bangalore|2022
KK Ahmed,Delhi Capitals,-1.21,38.6,37.39,37.4,2022,2022,KK Ahmed|Delhi Capitals,KK Ahmed|Delhi Capitals|2022
KL Rahul,Lucknow Super Giants,16.67,0,16.67,16.67,2022,2022,KL Rahul|Lucknow Super Giants,KL Rahul|Lucknow Super Giants|2022
KS Williamson,Sunrisers Hyderabad,-83.27,0,-83.27,-83.27,2022,2022,KS Williamson|Sunrisers Hyderabad,KS Williamson|Sunrisers Hyderabad|2022
