Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season
BJ Hodge,Rajasthan Royals,1.87,6.57,8.44,8.44,2013,2013,BJ Hodge|Rajasthan Royals,BJ Hodge|Rajasthan Royals|2013
CH Gayle,Royal Challengers Bangalore,148.41,-10.07,138.34,138.33,2013,2013,CH Gayle|Royal Challengers Bangalore,CH Gayle|Royal Challengers Bangalore|2013
CH Morris,Chennai Super Kings,-1.93,144.05,142.12,142.12,2013,2013,CH Morris|Chennai Super Kings,CH Morris|Chennai Super Kings|2013
CL White,Sunrisers Hyderabad,-23.96,2.79,-21.17,-21.17,2013,2013,CL White|Sunrisers Hyderabad,CL White|Sunrisers Hyderabad|2013
DA Miller,Kings XI Punjab,99.83,0,99.83,99.83,2013,2013,DA Miller|Kings XI Punjab,DA Miller|Kings XI Punjab|2013
DA Warner,Delhi Daredevils,16.74,0,16.74,16.74,2013,2013,DA Warner|Delhi Daredevils,DA Warner|Delhi Daredevils|2013
DJ Bravo,Chennai Super Kings,-17.66,232.07,214.41,214.42,2013,2013,DJ Bravo|Chennai Super Kings,DJ Bravo|Chennai Super Kings|2013
DJ Hussey,Kings XI Punjab,-12.09,27.92,15.83,15.83,2013,2013,DJ Hussey|Kings XI Punjab,DJ Hussey|Kings XI Punjab|2013
DPMD Jayawardene,Delhi Daredevils,-41.82,0,-41.82,-41.82,2013,2013,DPMD Jayawardene|Delhi Daredevils,DPMD Jayawardene|Delhi Daredevils|2013
DR Smith,Mumbai Indians,11.6,-24.18,-12.58,-12.58,2013,2013,DR Smith|Mumbai Indians,DR Smith|Mumbai Indians|2013
DW Steyn,Sunrisers Hyderabad,176.16,-2015.94,-1839.78,-1839.78,2013,2013,DW Steyn|Sunrisers Hyderabad,DW Steyn|Sunrisers Hyderabad|2013
EJG Morgan,Kolkata Knight Riders,12.85,0,12.85,12.85,2013,2013,EJG Morgan|Kolkata Knight Riders,EJG Morgan|Kolkata Knight Riders|2013
G Gambhir,Kolkata Knight Riders,-12.07,0,-12.07,-12.07,2013,2013,G Gambhir|Kolkata Knight Riders,G Gambhir|Kolkata Knight Riders|2013
GH Vihari,Sunrisers Hyderabad,-80.66,32.6,-48.06,-48.06,2013,2013,GH Vihari|Sunrisers Hyderabad,GH Vihari|Sunrisers Hyderabad|2013
